,지하철명,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~1시,1시~2시,2시~3시,3시~4시,X좌표,Y좌표,_PARCEL_AD
443,달월,0.0,50.0,221.0,285.0,480.0,233.0,208.0,216.0,249.0,202.0,186.0,240.0,512.0,700.0,746.0,131.0,81.0,67.0,68.0,74.0,6.0,0.0,0.0,0.0,126.745177,37.379681,경기도 시흥시 월곶동 917-39
444,월곶,5.0,1850.0,7063.0,13203.0,14488.0,9651.0,7288.0,7903.0,8412.0,7555.0,7548.0,8307.0,10349.0,13230.0,16037.0,9270.0,6522.0,6175.0,4559.0,2387.0,341.0,0.0,0.0,0.0,126.742699,37.391769,경기도 시흥시 월곶동 520-348
445,소래포구,5.0,3368.0,10849.0,21572.0,22961.0,14613.0,15054.0,23108.0,27039.0,24526.0,27266.0,26946.0,26829.0,23356.0,24565.0,16124.0,10841.0,10917.0,8457.0,4937.0,667.0,0.0,0.0,0.0,126.733522,37.40095,인천광역시 남동구 논현동 731-7
446,인천논현,24.0,3379.0,11560.0,26340.0,29655.0,18570.0,14655.0,14711.0,16826.0,16803.0,16520.0,18820.0,23330.0,29430.0,33651.0,20214.0,15068.0,13372.0,10309.0,5815.0,797.0,0.0,0.0,0.0,126.722478,37.400614,인천광역시 남동구 논현동 720
447,호구포,9.0,3095.0,8426.0,27750.0,34827.0,10468.0,7436.0,7947.0,8605.0,8982.0,8188.0,9327.0,11664.0,24040.0,27288.0,12540.0,11198.0,8670.0,5202.0,3245.0,543.0,0.0,0.0,0.0,126.708627,37.401637,인천광역시 남동구 논현동 731-1
448,남동인더스파크,0.0,1193.0,4972.0,17814.0,24350.0,5205.0,2881.0,3271.0,3551.0,3616.0,3662.0,3891.0,5457.0,15830.0,14005.0,6071.0,5636.0,2592.0,990.0,484.0,39.0,0.0,0.0,0.0,126.695216,37.407722,인천광역시 남동구 고잔동 970-8
449,원인재,24.0,4210.0,9763.0,20907.0,24787.0,14142.0,12106.0,11657.0,12792.0,13104.0,12385.0,15040.0,16776.0,21304.0,25996.0,16563.0,11948.0,11405.0,9699.0,5750.0,807.0,0.0,0.0,0.0,126.687869,37.412333,인천광역시 연수구 연수동 647
450,연수,5.0,3479.0,9040.0,20949.0,26695.0,14281.0,12567.0,11855.0,13487.0,14361.0,13513.0,14409.0,18089.0,23833.0,29160.0,16321.0,12382.0,12177.0,8542.0,5369.0,700.0,0.0,0.0,0.0,126.67894,37.417804,인천광역시 연수구 연수동 589
451,송도,3.0,2641.0,6239.0,12476.0,14304.0,7111.0,6456.0,6615.0,7584.0,7437.0,7004.0,8524.0,9993.0,11732.0,12642.0,7883.0,4840.0,4549.0,3500.0,2074.0,464.0,0.0,0.0,0.0,126.657772,37.428514,인천광역시 연수구 옥련동 302-4
452,인하대,38.0,4396.0,14130.0,29560.0,39625.0,20463.0,23793.0,17532.0,20089.0,20574.0,20925.0,21485.0,30763.0,34767.0,40171.0,21256.0,16602.0,15012.0,11693.0,7266.0,1085.0,0.0,0.0,0.0,126.649619,37.448493,인천광역시 미추홀구 용현동 672-6
